country_code,quarter,unemployment_rate
AUS,2000-Q1,6.65
AUS,2000-Q2,6.3
AUS,2000-Q3,5.99
AUS,2000-Q4,6.17
AUS,2001-Q1,6.37
AUS,2001-Q2,6.87
AUS,2001-Q3,6.87
AUS,2001-Q4,6.98
AUS,2002-Q1,6.63
AUS,2002-Q2,6.4
AUS,2002-Q3,6.28
AUS,2002-Q4,6.16
AUS,2003-Q1,6.06
AUS,2003-Q2,6.05
AUS,2003-Q3,5.91
AUS,2003-Q4,5.71
AUS,2004-Q1,5.54
AUS,2004-Q2,5.44
AUS,2004-Q3,5.48
AUS,2004-Q4,5.12
AUS,2005-Q1,5.11
AUS,2005-Q2,5.06
AUS,2005-Q3,4.96
AUS,2005-Q4,5.01
AUS,2006-Q1,5.04
AUS,2006-Q2,4.86
AUS,2006-Q3,4.68
AUS,2006-Q4,4.52
AUS,2007-Q1,4.55
AUS,2007-Q2,4.32
AUS,2007-Q3,4.26
AUS,2007-Q4,4.35
AUS,2008-Q1,4.09
AUS,2008-Q2,4.26
AUS,2008-Q3,4.19
AUS,2008-Q4,4.44
AUS,2009-Q1,5.31
AUS,2009-Q2,5.73
AUS,2009-Q3,5.68
AUS,2009-Q4,5.56
AUS,2010-Q1,5.33
AUS,2010-Q2,5.29
AUS,2010-Q3,5.12
AUS,2010-Q4,5.09
AUS,2011-Q1,4.97
AUS,2011-Q2,4.96
AUS,2011-Q3,5.2
AUS,2011-Q4,5.21
AUS,2012-Q1,5.14
AUS,2012-Q2,5.12
AUS,2012-Q3,5.28
AUS,2012-Q4,5.37
AUS,2013-Q1,5.48
AUS,2013-Q2,5.63
AUS,2013-Q3,5.73
AUS,2013-Q4,5.84
AUS,2014-Q1,5.9
AUS,2014-Q2,5.93
AUS,2014-Q3,6.17
AUS,2014-Q4,6.25
AUS,2015-Q1,6.2
AUS,2015-Q2,6.02
AUS,2015-Q3,6.18
AUS,2015-Q4,5.83
AUS,2016-Q1,5.8
AUS,2016-Q2,5.69
AUS,2016-Q3,5.66
AUS,2016-Q4,5.73
AUS,2017-Q1,5.81
AUS,2017-Q2,5.59
AUS,2017-Q3,5.53
AUS,2017-Q4,5.49
AUS,2018-Q1,5.54
AUS,2018-Q2,5.44
AUS,2018-Q3,5.19
AUS,2018-Q4,5.04
AUS,2019-Q1,5.04
AUS,2019-Q2,5.23
AUS,2019-Q3,5.26
AUS,2019-Q4,5.17
AUS,2020-Q1,5.18
AUS,2020-Q2,6.91
AUS,2020-Q3,7.06
AUS,2020-Q4,6.77
AUS,2021-Q1,5.93
AUS,2021-Q2,5.2
AUS,2021-Q3,4.67
AUS,2021-Q4,4.69
AUS,2022-Q1,4.05
AUS,2022-Q2,3.8
AUS,2022-Q3,3.53
AUS,2022-Q4,3.49
AUS,2023-Q1,3.61
AUS,2023-Q2,3.61
AUS,2023-Q3,3.66
AUS,2023-Q4,3.9
AUS,2024-Q1,3.9
AUS,2024-Q2,4.05
AUS,2024-Q3,4.12
AUS,2024-Q4,4.01
AUS,2025-Q1,4.08
AUS,2025-Q2,4.17
AUS,2025-Q3,4.32
AUS,2025-Q4,4.25
AUS,2026-Q1,4.2
CAN,2000-Q1,6.87
CAN,2000-Q2,6.67
CAN,2000-Q3,6.9
CAN,2000-Q4,6.9
CAN,2001-Q1,7.0
CAN,2001-Q2,7.1
CAN,2001-Q3,7.17
CAN,2001-Q4,7.63
CAN,2002-Q1,7.93
CAN,2002-Q2,7.7
CAN,2002-Q3,7.53
CAN,2002-Q4,7.57
CAN,2003-Q1,7.47
CAN,2003-Q2,7.67
CAN,2003-Q3,7.8
CAN,2003-Q4,7.43
CAN,2004-Q1,7.3
CAN,2004-Q2,7.17
CAN,2004-Q3,7.0
CAN,2004-Q4,7.13
CAN,2005-Q1,6.93
CAN,2005-Q2,6.83
CAN,2005-Q3,6.7
CAN,2005-Q4,6.53
CAN,2006-Q1,6.6
CAN,2006-Q2,6.33
CAN,2006-Q3,6.5
CAN,2006-Q4,6.37
CAN,2007-Q1,6.33
CAN,2007-Q2,6.2
CAN,2007-Q3,6.0
CAN,2007-Q4,6.1
CAN,2008-Q1,6.13
CAN,2008-Q2,6.17
CAN,2008-Q3,6.23
CAN,2008-Q4,6.7
CAN,2009-Q1,8.0
CAN,2009-Q2,8.63
CAN,2009-Q3,8.67
CAN,2009-Q4,8.6
CAN,2010-Q1,8.37
CAN,2010-Q2,8.13
CAN,2010-Q3,8.2
CAN,2010-Q4,7.93
CAN,2011-Q1,7.8
CAN,2011-Q2,7.73
CAN,2011-Q3,7.43
CAN,2011-Q4,7.53
CAN,2012-Q1,7.57
CAN,2012-Q2,7.47
CAN,2012-Q3,7.37
CAN,2012-Q4,7.37
CAN,2013-Q1,7.17
CAN,2013-Q2,7.17
CAN,2013-Q3,7.23
CAN,2013-Q4,7.27
CAN,2014-Q1,7.23
CAN,2014-Q2,7.2
CAN,2014-Q3,7.03
CAN,2014-Q4,6.77
CAN,2015-Q1,6.87
CAN,2015-Q2,6.93
CAN,2015-Q3,7.07
CAN,2015-Q4,7.13
CAN,2016-Q1,7.23
CAN,2016-Q2,7.13
CAN,2016-Q3,6.97
CAN,2016-Q4,6.87
CAN,2017-Q1,6.73
CAN,2017-Q2,6.53
CAN,2017-Q3,6.23
CAN,2017-Q4,6.17
CAN,2018-Q1,5.9
CAN,2018-Q2,5.9
CAN,2018-Q3,5.9
CAN,2018-Q4,5.63
CAN,2019-Q1,5.77
CAN,2019-Q2,5.6
CAN,2019-Q3,5.67
CAN,2019-Q4,5.7
CAN,2020-Q1,6.6
CAN,2020-Q2,13.5
CAN,2020-Q3,10.03
CAN,2020-Q4,8.83
CAN,2021-Q1,8.47
CAN,2021-Q2,8.13
CAN,2021-Q3,7.17
CAN,2021-Q4,6.17
CAN,2022-Q1,5.77
CAN,2022-Q2,5.17
CAN,2022-Q3,5.03
CAN,2022-Q4,5.03
CAN,2023-Q1,5.13
CAN,2023-Q2,5.23
CAN,2023-Q3,5.43
CAN,2023-Q4,5.77
CAN,2024-Q1,5.9
CAN,2024-Q2,6.3
CAN,2024-Q3,6.5
CAN,2024-Q4,6.77
CAN,2025-Q1,6.7
CAN,2025-Q2,6.93
CAN,2025-Q3,7.03
CAN,2025-Q4,6.77
CAN,2026-Q1,6.63
DEU,2000-Q1,8.13
DEU,2000-Q2,8.0
DEU,2000-Q3,7.9
DEU,2000-Q4,7.77
DEU,2001-Q1,7.67
DEU,2001-Q2,7.67
DEU,2001-Q3,7.83
DEU,2001-Q4,8.03
DEU,2002-Q1,8.17
DEU,2002-Q2,8.4
DEU,2002-Q3,8.73
DEU,2002-Q4,9.1
DEU,2003-Q1,9.5
DEU,2003-Q2,9.73
DEU,2003-Q3,9.8
DEU,2003-Q4,9.8
DEU,2004-Q1,10.07
DEU,2004-Q2,10.3
DEU,2004-Q3,10.37
DEU,2004-Q4,10.6
DEU,2005-Q1,10.83
DEU,2005-Q2,11.2
DEU,2005-Q3,11.17
DEU,2005-Q4,10.87
DEU,2006-Q1,10.53
DEU,2006-Q2,10.2
DEU,2006-Q3,9.9
DEU,2006-Q4,9.57
DEU,2007-Q1,9.07
DEU,2007-Q2,8.6
DEU,2007-Q3,8.43
DEU,2007-Q4,8.2
DEU,2008-Q1,7.9
DEU,2008-Q2,7.53
DEU,2008-Q3,7.13
DEU,2008-Q4,7.03
DEU,2009-Q1,7.2
DEU,2009-Q2,7.47
DEU,2009-Q3,7.53
DEU,2009-Q4,7.27
DEU,2010-Q1,7.0
DEU,2010-Q2,6.7
DEU,2010-Q3,6.43
DEU,2010-Q4,6.2
DEU,2011-Q1,5.87
DEU,2011-Q2,5.57
DEU,2011-Q3,5.43
DEU,2011-Q4,5.23
DEU,2012-Q1,5.1
